size 22
turn_count 135
entity 1 BFAAB 16x5 infected
entity 2 FGDDD 2x2
entity 3 BGADB 17x16 infected
entity 4 AECEE 3x4 infected
entity 5 FCBDE 6x10
entity 6 BDCAF 15x2 infected
entity 7 GBEGA 3x19 infected
entity 8 FEFFB 20x16
entity 9 GAEFG 19x17
entity 10 GCFEA 18x2
entity 11 ADBGE 3x13
entity 12 BEAGE 9x20
entity 13 EDFFF 10x9
entity 14 DEBED 9x21
entity 15 ECAGG 21x5
entity 16 ABCAB 2x16
entity 17 ADBEC 8x1
turn 1 15x5 3x2 17x15 2x4 6x9 16x2 3x18 20x15 19x16 18x3 2x13 8x20 10x8 9x21 21x5 2x17 8x1 
turn 2 16x5 4x2 16x15 1x4 5x9 16x3 3x19 20x14 19x17 17x3 1x13 8x21 10x9 9x21 20x5 2x18 9x1 
turn 3 15x5 4x3 16x14 1x3 4x9 15x3 3x20 19x14 19x18 17x2 1x14 8x21 9x9 8x21 21x5 1x18 9x1 
turn 4 16x5 5x3 16x13 1x3 3x9 15x2 3x19 20x14 19x19 17x3 1x15 7x21 8x9 7x21 21x5 1x17 10x1 
turn 5 17x5 5x2 17x13 1x3 4x9 15x3 4x19 21x14 18x19 18x3 2x15 8x21 8x10 7x20 21x6 1x16 10x2 
turn 6 17x6 5x3 18x13 1x4 4x8 16x3 3x19 21x13 17x19 18x4 3x15 7x21 7x10 6x20 21x7 2x16 10x1 
turn 7 18x6 5x2 18x14 1x5 3x8 17x3 2x19 21x14 17x20 18x5 3x16 8x21 6x10 6x21 21x8 2x15 10x1 
turn 8 18x7 6x2 19x14 1x4 3x7 18x3 2x18 21x13 17x19 18x4 2x16 8x20 5x10 6x21 20x8 3x15 10x2 
turn 9 18x6 6x1 19x13 1x5 2x7 18x4 2x17 21x13 17x18 17x4 3x16 8x21 6x10 7x21 21x8 2x15 10x3 
turn 10 19x6 6x1 19x12 1x5 3x7 18x5 2x18 20x13 16x18 16x4 4x16 8x20 5x10 6x21 21x7 2x14 10x2 
turn 11 19x5 6x1 18x12 1x6 3x8 17x5 2x19 20x14 16x17 16x3 3x16 8x19 5x9 5x21 21x6 1x14 11x2 
turn 12 19x6 6x2 19x12 2x6 4x8 16x5 1x19 20x13 17x17 15x3 2x16 8x18 4x9 5x20 21x6 2x14 11x3 
turn 13 19x7 7x2 18x12 2x7 3x8 17x5 1x19 21x13 18x17 15x2 2x15 8x17 4x8 4x20 21x6 3x14 12x3 
turn 14 19x6 6x2 17x12 2x6 3x9 18x5 2x19 21x14 18x18 15x3 1x15 8x18 5x8 5x20 21x6 3x13 12x4 
turn 15 19x7 6x1 17x13 1x6 3x8 18x6 1x19 21x13 18x17 15x2 1x14 8x17 4x8 6x20 21x7 3x14 11x4 
